RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
394466,28,"Cincinnati, OH",Msa,OH,1815.0,2243.0,2659.0,2787.0,3077.0,2845.0,3012.0,2794.0,2256.0,2370.0,1937.0,1447.0,2040.0,2360.0,2871.0,3192.0,3223.0,3224.0,3174.0,2906.0,2779.0,2601.0,2156.0,1614.0,2348.0,2350.0,2641.0,2397.0,3088.0,3275.0,3252.0,3242.0
394475,29,"Cleveland, OH",Msa,OH,1284.0,1384.0,1887.0,2167.0,2305.0,2122.0,2316.0,2049.0,1765.0,1876.0,1516.0,1255.0,1280.0,1406.0,1906.0,2289.0,2220.0,2266.0,2269.0,2102.0,1934.0,1956.0,1569.0,1687.0,1750.0,1828.0,2249.0,1843.0,2380.0,2725.0,2735.0,2853.0
394775,31,"Las Vegas, NV",Msa,NV,"","","","","",4295.0,2377.0,2626.0,2260.0,1659.0,1525.0,1284.0,1569.0,1752.0,2146.0,2279.0,2365.0,2284.0,2320.0,2310.0,2063.0,2070.0,1861.0,1586.0,2138.0,2281.0,2015.0,1368.0,1925.0,2401.0,2430.0,2469.0
394492,32,"Columbus, OH",Msa,OH,"","",2079.0,2529.0,2768.0,2778.0,2779.0,2654.0,2105.0,2248.0,1676.0,1356.0,1705.0,1779.0,2401.0,2667.0,2848.0,2908.0,2879.0,2727.0,2408.0,2440.0,1915.0,1406.0,1991.0,1990.0,2423.0,2230.0,2638.0,2907.0,2908.0,3011.0
394355,35,"Austin, TX",Msa,TX,1792.0,1896.0,2331.0,2765.0,2837.0,2761.0,2646.0,2421.0,1788.0,1858.0,1671.0,1404.0,1860.0,2046.0,2559.0,2989.0,3018.0,2988.0,2827.0,2518.0,2247.0,2193.0,1947.0,1550.0,2096.0,2209.0,2415.0,1972.0,3069.0,3573.0,3285.0,3272.0
394902,37,"Nashville, TN",Msa,TN,309.0,341.0,469.0,483.0,413.0,510.0,546.0,512.0,400.0,433.0,398.0,327.0,384.0,377.0,433.0,530.0,554.0,416.0,777.0,525.0,411.0,549.0,362.0,319.0,343.0,284.0,352.0,348.0,422.0,381.0,391.0,359.0
394714,40,"Jacksonville, FL",Msa,FL,"","","","","","","","","","","","","","","","","","","",2562.0,2112.0,2335.0,2017.0,1697.0,2380.0,2493.0,2606.0,1994.0,2995.0,3195.0,3247.0,3138.0
394669,44,"Hartford, CT",Msa,CT,965.0,769.0,860.0,1134.0,1178.0,1067.0,1003.0,968.0,789.0,881.0,716.0,527.0,620.0,756.0,1015.0,1252.0,1318.0,1167.0,1104.0,1054.0,920.0,983.0,781.0,583.0,803.0,942.0,1112.0,769.0,1250.0,1522.0,1484.0,1382.0
394910,46,"New Orleans, LA",Msa,LA,661.0,710.0,894.0,1017.0,976.0,973.0,940.0,765.0,572.0,645.0,527.0,412.0,570.0,647.0,811.0,908.0,899.0,911.0,782.0,872.0,727.0,652.0,560.0,496.0,622.0,639.0,735.0,572.0,840.0,968.0,984.0,930.0
394425,47,"Buffalo, NY",Msa,NY,734.0,772.0,976.0,1044.0,1276.0,1193.0,1290.0,1194.0,913.0,1083.0,772.0,540.0,735.0,760.0,1027.0,1121.0,1231.0,1262.0,1296.0,1182.0,1062.0,1036.0,830.0,593.0,805.0,826.0,847.0,427.0,850.0,1404.0,1370.0,1440.0
395012,48,"Raleigh, NC",Msa,NC,1092.0,1392.0,1547.0,1799.0,1886.0,1779.0,1739.0,1695.0,1172.0,1392.0,1198.0,860.0,1331.0,1514.0,1845.0,1897.0,2047.0,2219.0,1957.0,1826.0,1746.0,1784.0,1558.0,1140.0,1635.0,1712.0,1974.0,1597.0,2239.0,2276.0,2095.0,2193.0
394388,49,"Birmingham, AL",Msa,AL,866.0,1047.0,1295.0,1484.0,1353.0,1321.0,1251.0,1210.0,926.0,1027.0,825.0,636.0,954.0,1094.0,1427.0,1512.0,1484.0,1422.0,1358.0,1310.0,1167.0,1128.0,865.0,777.0,1098.0,1149.0,1439.0,1253.0,1600.0,1767.0,1772.0,1787.0
