RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
394648,73,"Greensboro, NC",Msa,NC,208000.0,199500.0,195800.0,195000.0,210000.0,220000.0,232900.0,243750.0,239900.0,250000.0,263900.0,259900.0,255000.0,249900.0,249000.0,253800.0,259900.0,269900.0,280500.0,289900.0,279000.0,274900.0,269900.0,269900.0,265000.0,264000.0,263500.0,259900.0,260444.0,269490.0,260000.0,282500.0,295900.0,299000.0,309000.0
394304,74,"Akron, OH",Msa,OH,149900.0,149900.0,148999.0,139900.0,144000.0,150000.0,159500.0,169800.0,174900.0,174900.0,169000.0,164500.0,159900.0,154900.0,149900.0,149900.0,155000.0,162500.0,165000.0,175000.0,179900.0,179000.0,174900.0,168900.0,164900.0,159000.0,149999.0,149900.0,157777.0,164900.0,169900.0,179900.0,185990.0,189000.0,189900.0
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,354900.0,355000.0,359000.0,359000.0,359900.0,360000.0,359000.0,365000.0,369000.0,369900.0,364000.0,355000.0,355500.0,352500.0,350000.0,359000.0,359000.0,365000.0,375000.0,375000.0,379900.0,375000.0,369900.0,367360.0,372990.0,375000.0,375000.0,374900.0,375000.0,374900.0,360000.0,360185.0,369900.0,379000.0,375000.0
394798,76,"Little Rock, AR",Msa,AR,179900.0,179900.0,183900.0,184900.0,187500.0,189900.0,192000.0,194500.0,194000.0,190000.0,189900.0,189900.0,192000.0,189900.0,189900.0,189700.0,189999.0,198000.0,200000.0,214900.0,215000.0,215000.0,215000.0,209900.0,210000.0,207000.0,205000.0,205900.0,210000.0,219000.0,219900.0,225000.0,224900.0,221500.0,220000.0
395134,77,"Stockton, CA",Msa,CA,379900.0,378900.0,379900.0,385000.0,384900.0,375000.0,390000.0,388888.0,395000.0,395000.0,385000.0,385000.0,385000.0,379000.0,380000.0,375000.0,375000.0,389000.0,415000.0,424900.0,429000.0,441000.0,444500.0,435000.0,434950.0,439999.0,439500.0,429900.0,435000.0,439900.0,435000.0,439900.0,459000.0,469900.0,479900.0
394457,78,"Charleston, SC",Msa,SC,399900.0,399500.0,399000.0,398000.0,400000.0,409900.0,416000.0,424500.0,419900.0,417500.0,409000.0,399750.0,399000.0,392500.0,389600.0,394049.0,404490.0,419000.0,424805.0,425000.0,425000.0,415000.0,400000.0,399900.0,399000.0,399000.0,395000.0,398000.0,400000.0,419000.0,409965.0,429000.0,435000.0,439000.0,443674.0
395143,79,"Syracuse, NY",Msa,NY,158500.0,154900.0,154500.0,150000.0,159000.0,165000.0,169900.0,169900.0,169999.0,174000.0,174000.0,170000.0,169900.0,169900.0,168900.0,169900.0,174900.0,179900.0,189900.0,194900.0,198450.0,194900.0,189500.0,189000.0,184900.0,184900.0,186900.0,187777.0,194900.0,199900.0,209900.0,219000.0,224900.0,224900.0,219900.0
394484,80,"Colorado Springs, CO",Msa,CO,450000.0,435000.0,447500.0,438392.0,430000.0,435000.0,429500.0,425000.0,399900.0,385000.0,378900.0,375000.0,375000.0,375000.0,376900.0,394138.0,399900.0,415000.0,414999.0,424900.0,430000.0,442350.0,429900.0,429000.0,429900.0,435000.0,429900.0,429900.0,429900.0,444749.0,449900.0,450000.0,451500.0,459900.0,449900.0
395235,81,"Winston-Salem, NC",Msa,NC,200000.0,209900.0,209900.0,209900.0,214900.0,215000.0,219900.0,219900.0,225000.0,245000.0,250000.0,249900.0,249000.0,244900.0,244900.0,249500.0,256800.0,265900.0,279000.0,288500.0,287900.0,287000.0,284500.0,284900.0,284900.0,278500.0,274990.0,275000.0,290470.0,292750.0,284900.0,300000.0,310990.0,314000.0,307280.0
395224,82,"Wichita, KS",Msa,KS,175000.0,175000.0,174900.0,179900.0,192500.0,199900.0,209900.0,209900.0,204900.0,203900.0,199900.0,197500.0,196650.0,187500.0,187500.0,195000.0,199900.0,211350.0,220000.0,226650.0,227500.0,219500.0,217000.0,215000.0,215000.0,209000.0,199900.0,199000.0,205000.0,224500.0,229900.0,249900.0,268000.0,268000.0,259301.0
395115,83,"Springfield, MA",Msa,MA,259900.0,259900.0,259900.0,259000.0,264900.0,278000.0,285000.0,289000.0,289900.0,284900.0,274900.0,269000.0,264900.0,260000.0,254000.0,252497.0,255000.0,269900.0,285000.0,299000.0,299900.0,295000.0,295000.0,294000.0,289000.0,278000.0,276400.0,279000.0,289000.0,309000.0,319900.0,329900.0,349000.0,349900.0,349900.0
394440,84,"Fort Myers, FL",Msa,FL,298500.0,299500.0,299904.0,299900.0,299990.0,299995.0,300000.0,299900.0,299900.0,299000.0,299000.0,298990.0,299000.0,299000.0,295000.0,295000.0,299000.0,299000.0,299000.0,299000.0,299000.0,297900.0,295000.0,294000.0,299000.0,299900.0,305000.0,309900.0,319000.0,320000.0,310000.0,319500.0,327000.0,327000.0,325000.0
394399,85,"Boise City, ID",Msa,ID,310000.0,309900.0,328990.0,339900.0,359900.0,345000.0,359521.0,365900.0,360000.0,354800.0,349900.0,349900.0,345000.0,339990.0,339900.0,342765.0,350990.0,367480.0,384900.0,389990.0,389900.0,385000.0,379900.0,375000.0,367104.0,369000.0,369900.0,378900.0,389540.0,397900.0,394990.0,399990.0,415000.0,425000.0,426774.0
395160,86,"Toledo, OH",Msa,OH,134900.0,129900.0,127500.0,125000.0,125900.0,139500.0,145000.0,149900.0,149900.0,149900.0,144900.0,144000.0,143500.0,139900.0,139900.0,139900.0,142400.0,163500.0,177500.0,186900.0,189000.0,179900.0,174000.0,165000.0,164900.0,159900.0,159900.0,159900.0,159900.0,164900.0,175000.0,197900.0,199900.0,208000.0,220000.0
394816,87,"Madison, WI",Msa,WI,292000.0,289900.0,289000.0,299000.0,309900.0,315000.0,319900.0,315000.0,319900.0,319000.0,305000.0,300000.0,299900.0,299900.0,300000.0,309900.0,327000.0,335000.0,334000.0,335000.0,335000.0,329900.0,327900.0,324900.0,324900.0,324900.0,324900.0,329000.0,339900.0,349000.0,349900.0,350000.0,355000.0,349900.0,344900.0
394766,88,"Lakeland, FL",Msa,FL,219950.0,223000.0,223045.0,219950.0,225000.0,228900.0,230000.0,230000.0,230000.0,230494.0,229900.0,226585.0,224900.0,224000.0,224900.0,224900.0,224999.0,225000.0,229000.0,232990.0,231850.0,232900.0,231994.0,230012.0,229999.0,229500.0,229900.0,229999.0,234900.0,235000.0,232500.0,232808.0,235000.0,239900.0,240900.0
394931,89,"Ogden, UT",Msa,UT,325000.0,325000.0,325000.0,334900.0,349900.0,366000.0,369900.0,369900.0,374000.0,369900.0,362000.0,359900.0,353200.0,355000.0,363000.0,374900.0,379800.0,389900.0,395000.0,389500.0,382000.0,379000.0,375000.0,362250.0,349900.0,353950.0,359900.0,376400.0,386400.0,385000.0,379900.0,399800.0,415900.0,425000.0,420000.0
394528,90,"Daytona Beach, FL",Msa,FL,269900.0,269000.0,269650.0,269000.0,269900.0,274000.0,276990.0,285000.0,288987.0,285000.0,284000.0,279500.0,275900.0,274500.0,274000.0,274000.0,275000.0,279900.0,286000.0,289000.0,288900.0,284900.0,279900.0,277500.0,277000.0,277000.0,279000.0,279000.0,284900.0,285990.0,279900.0,280000.0,284900.0,289000.0,287900.0
394531,91,"Des Moines, IA",Msa,IA,279900.0,279900.0,280000.0,285000.0,293500.0,299000.0,299900.0,299900.0,299900.0,299900.0,292900.0,289900.0,289900.0,288000.0,284900.0,285000.0,289500.0,293000.0,295000.0,293500.0,293000.0,287900.0,279900.0,275000.0,265000.0,261500.0,260000.0,265900.0,273700.0,276000.0,277808.0,282941.0,288000.0,285000.0,279900.0
394711,92,"Jackson, MS",Msa,MS,249500.0,245000.0,249000.0,243900.0,244900.0,249900.0,254900.0,254900.0,260000.0,254900.0,249900.0,245900.0,239900.0,239900.0,239900.0,239900.0,245000.0,249500.0,258900.0,259500.0,262500.0,259000.0,258000.0,255000.0,255500.0,254900.0,264600.0,263000.0,263900.0,266900.0,269900.0,280000.0,294900.0,305000.0,301900.0
